"Source","BoatID","TripID","Time","Latitude","Longitude","Gear","FishingOperation","Speed","Bearing_course","QualityIndex"
"MI",280,"280_0",1977-03-25 07:49:00,55.107440182612,-1.13475175625881,"FPO","TRANSIT",3.55252447713794,NA,"NA"
"MI",280,"280_0",1977-03-25 07:55:00,55.1055489603913,-1.13706994508312,"FPO","FISHING",0.79903448087477,-0.687414977077278,"NA"
"MI",280,"280_0",1977-03-25 08:01:00,55.1053106794372,-1.14043368188861,"FPO","FISHING",0.570433708612133,-0.322832911604733,"NA"
"MI",280,"280_0",1977-03-25 08:07:00,55.1046577914129,-1.1434287002123,"FPO","MIX_TRANSIT",0.987974108858571,-1.89499802334553,"NA"
"MI",280,"280_0",1977-03-25 08:13:00,55.1052827551723,-1.14602157683618,"FPO","TRANSIT",3.61225448259689,0.286115691343819,"NA"
"MI",280,"280_0",1977-03-25 08:19:00,55.0994415649376,-1.14934903175063,"FPO","FISHING",0.293451803021469,-0.677491328544915,"NA"
"MI",280,"280_0",1977-03-25 08:25:00,55.0979004095776,-1.15054139662108,"FPO","FISHING",0.558874585268244,0.204300467053813,"NA"
"MI",280,"280_0",1977-03-25 08:31:00,55.0963040236003,-1.15066810400674,"FPO","FISHING",0.433150152780997,-0.944492106675582,"NA"
"MI",280,"280_0",1977-03-25 08:37:00,55.0950378156761,-1.15139099565152,"FPO","MIX_TRANSIT",0.456782894099777,2.63280057412018,"NA"
"MI",280,"280_0",1977-03-25 08:43:00,55.0943746007296,-1.1541728696651,"FPO","MIX_TRANSIT",0.936655367162965,0.689581689412545,"NA"
"MI",280,"280_0",1977-03-25 08:49:00,55.0995444565509,-1.15148141402703,"FPO","MIX_TRANSIT",2.23375961140927,-1.72790664317139,"NA"
"MI",280,"280_0",1977-03-25 08:55:00,55.0931894753573,-1.1421052108373,"FPO","MIX_TRANSIT",1.47051369144815,5.51206430694456e-06,"NA"
"MI",280,"280_0",1977-03-25 09:01:00,55.0914535644985,-1.13720592909621,"FPO","MIX_TRANSIT",0.228679161328467,2.1269427633017,"NA"
"MI",280,"280_0",1977-03-25 09:07:00,55.0899234683128,-1.13657125086092,"FPO","FISHING",0.603852431407345,-0.541149876015207,"NA"
"MI",280,"280_0",1977-03-25 09:13:00,55.0885065692542,-1.1382823680479,"FPO","FISHING",0.392152534983277,-0.169796911954599,"NA"
